dimension,size,rNum,NDSetRankFastT,NDSetRankBankerT,NDSetRankArenaT,NDSetRankDeleteT,NDSetRankSwkT,NDSetRankSBCT,NDSetRankENST
2,1000,1000,4.801052918102552,2.4902872137136933,2.4596746825976554,2.3884766860339024,0.0014830611424940798,0.001777382013873563,1.1313054296077318
2,1000,500,5.191934343927173,1.320669107883809,1.3088006681281286,1.2695994984298267,0.001942912812676667,0.001887604192553738,0.553686694839822
2,1000,333,5.572615675016031,0.867309484519712,0.8701867179509257,0.8618323508810448,0.002684443383923707,0.003112295066749482,0.542737563362941
2,1000,250,5.349490034769371,1.6918472328504777,0.6782507937774653,1.905646654559348,0.0030048383190788286,0.002895011201964337,0.5003510122070125
2,1000,200,5.455314783085512,1.0754579454980941,0.8294823389699388,1.0937382345725482,0.0032051345362447137,0.004211356360940499,0.40635559255088083
2,1000,166,5.4088235421931685,2.987717535716534,0.6978952304611497,3.265120290322848,0.003939553999188661,0.004268640288934478,0.3711682484273595
2,1000,142,5.4099798874153535,3.304035830504361,0.6361316993060058,3.5268928288818415,0.0038392083598211,0.0027508137280705114,0.1643847251813355
2,1000,125,5.319420713315267,4.2913654157568715,0.525544878797092,5.01332937745012,0.006754367701972797,0.007314565011526497,0.15294334698533874
2,1000,111,5.368453780363936,4.2015576487673485,0.5521435843383387,4.845688554789717,0.00297876425530319,0.0030253815208425294,0.14798453412956292
2,1000,100,5.269580535474347,4.615572695082392,0.9191174640523627,5.559350297540618,0.004216097099813965,0.0035010356539117993,0.2534474060454812
2,1000,90,5.334547225857875,6.796346154529914,0.46878559257854135,7.85104400946409,0.003108344451021594,0.003229233292159961,0.10955452462042103
2,1000,83,5.399952039525118,6.641834413102458,0.4327449154587839,7.723525245027076,0.0036665664527220088,0.004632096935466734,0.24625056938248235
2,1000,76,5.568750392592449,7.554127978616094,0.8507516639005814,8.926994991804435,0.007922169709758009,0.007085824361155346,0.12022671793511108
2,1000,71,5.5232934228964154,7.8438696913107435,0.8035315344073126,9.384464045643824,0.0033520974411374027,0.0033434060865431547,0.10404657617914381
2,1000,66,5.312706641893669,8.330295573216546,0.2907471443961924,9.693555874150775,0.0037696775230813273,0.003732541735274708,0.1863394819399673
2,1000,62,5.35651146409424,8.142715993001104,0.7935672914302074,10.052513164439262,0.008165527638311687,0.00987456400019937,0.08918870550570546
2,1000,58,5.978667070156234,10.796199191625021,0.3371372495259948,12.989009782119581,0.003753084937102358,0.0034575788809547703,0.08035315344068295
2,1000,55,5.651744137582568,9.270255300639917,0.863973584603059,11.13621130421285,0.0038198503427793185,0.0036669615142841394,0.0768667350649821
2,1000,52,5.673498203062422,11.082906041321053,0.5107423167437446,13.0156531296185,0.004070319379593457,0.005836639669439592,0.07405389667007967
2,1000,50,5.461725842281169,11.60950296908527,0.9518633276589412,13.613553140324711,0.003833282436232821,0.00396128238566007,0.06986861437286507
2,1000,47,5.401117471163445,12.788565416863037,0.3088575569945533,15.349857837093168,0.004092442827698051,0.004122862568749497,0.1532088283619828
